Entry,Entry name,Protein names,Gene names,Organism,Length,Mass,Tissue specificity,Cofactor,Function [CC],Subcellular location [CC],Pathway
O15528,CP27B_HUMAN,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial (EC 1.14.15.18) (25-OHD-1 alpha-hydroxylase) (25-hydroxyvitamin D(3) 1-alpha-hydroxylase) (VD3 1A hydroxylase) (Calcidiol 1-monooxygenase) (Cytochrome P450 subfamily XXVIIB polypeptide 1) (Cytochrome P450C1 alpha) (Cytochrome P450VD1-alpha) (Cytochrome p450 27B1)",CYP27B1 CYP1ALPHA CYP27B,Homo sapiens (Human),508,"56,504","TISSUE SPECIFICITY: Kidney. {ECO:0000269|PubMed:9428799, ECO:0000269|PubMed:9486994}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:O35084}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in vitamin D metabolism and in calcium and phosphorus homeostasis. Catalyzes the rate-limiting step in the activation of vitamin D in the kidney, namely the hydroxylation of 25-hydroxyvitamin D3/calcidiol at the C1alpha-position to form the hormonally active form of vitamin D3, 1alpha,25-dihydroxyvitamin D3/calcitriol that acts via the vitamin D receptor (VDR) (PubMed:10518789, PubMed:9486994, PubMed:22862690, PubMed:10566658, PubMed:12050193). Has 1alpha-hydroxylase activity on vitamin D intermediates of the CYP24A1-mediated inactivation pathway (PubMed:10518789, PubMed:22862690). Converts 24R,25-dihydroxyvitamin D3/secalciferol to 1-alpha,24,25-trihydroxyvitamin D3, an active ligand of VDR. Also active on 25-hydroxyvitamin D2 (PubMed:10518789). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via FDXR/adrenodoxin reductase and FDX1/adrenodoxin (PubMed:22862690). {ECO:0000269|PubMed:10518789, ECO:0000269|PubMed:10566658, ECO:0000269|PubMed:12050193, ECO:0000269|PubMed:22862690, ECO:0000269|PubMed:9486994}.",SUBCELLULAR LOCATION: Mitochondrion membrane.,PATHWAY: Hormone biosynthesis; vitamin D biosynthesis. {ECO:0000269|PubMed:9486994}.
P08686,CP21A_HUMAN,Steroid 21-hydroxylase (EC 1.14.14.16) (21-OHase) (Cytochrome P-450c21) (Cytochrome P450 21) (Cytochrome P450 XXI) (Cytochrome P450-C21) (Cytochrome P450-C21B),CYP21A2 CYP21 CYP21B,Homo sapiens (Human),494,"55,887",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:25855791}; ,"FUNCTION: A cytochrome P450 monooxygenase that plays a major role in adrenal steroidogenesis. Catalyzes the hydroxylation at C-21 of progesterone and 17alpha-hydroxyprogesterone to respectively form 11-deoxycorticosterone and 11-deoxycortisol, intermediate metabolites in the biosynthetic pathway of mineralocorticoids and glucocorticoids (PubMed:25855791, PubMed:10602386, PubMed:16984992, PubMed:22014889, PubMed:27721825). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:25855791). {ECO:0000269|PubMed:10602386, ECO:0000269|PubMed:16984992, ECO:0000269|PubMed:22014889, ECO:0000269|PubMed:25855791, ECO:0000269|PubMed:27721825}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein {ECO:0000269|PubMed:10198222}. Microsome membrane {ECO:0000269|PubMed:10198222}; Peripheral membrane protein {ECO:0000269|PubMed:10198222}.,
Q16647,PTGIS_HUMAN,Prostacyclin synthase (EC 5.3.99.4) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Prostaglandin I2 synthase),PTGIS CYP8 CYP8A1,Homo sapiens (Human),500,"57,104","TISSUE SPECIFICITY: Widely expressed; particularly abundant in ovary, heart, skeletal muscle, lung and prostate. {ECO:0000269|PubMed:8185632}.","COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:17020766, ECO:0000269|PubMed:18032380}; ","FUNCTION: Catalyzes the biosynthesis and metabolism of eicosanoids. Catalyzes the isomerization of prostaglandin H2 to prostacyclin (= prostaglandin I2), a potent mediator of vasodilation and inhibitor of platelet aggregation (PubMed:18032380, PubMed:25623425, PubMed:12372404, PubMed:15115769). Additionally, displays dehydratase activity, toward hydroperoxyeicosatetraenoates (HPETEs), especially toward (15S)-hydroperoxy-(5Z,8Z,11Z,13E)-eicosatetraenoate (15(S)-HPETE) (PubMed:17459323). {ECO:0000269|PubMed:12372404, ECO:0000269|PubMed:15115769, ECO:0000269|PubMed:17459323, ECO:0000269|PubMed:18032380, ECO:0000269|PubMed:25623425}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q29626}; Single-pass membrane protein {ECO:0000255}.,
P24557,THAS_HUMAN,Thromboxane-A synthase (TXA synthase) (TXS) (EC 5.3.99.5) (Cytochrome P450 5A1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),TBXAS1 CYP5 CYP5A1 TXAS,Homo sapiens (Human),533,"60,518","TISSUE SPECIFICITY: Platelets, lung, kidney, spleen, macrophages and lung fibroblasts. {ECO:0000269|PubMed:1714723, ECO:0000269|PubMed:7925341}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:11097184}; ,"FUNCTION: Catalyzes the conversion of prostaglandin H2 (PGH2) to thromboxane A2 (TXA2), a potent inducer of blood vessel constriction and platelet aggregation (PubMed:8436233, PubMed:11297515, PubMed:9873013, PubMed:11097184, PubMed:24009185, PubMed:22735388). Cleaves also PGH2 to 12-hydroxy-heptadecatrienoicacid (12-HHT) and malondialdehyde, which is known to act as a mediator of DNA damage. 12-HHT and malondialdehyde are formed stoichiometrically in the same amounts as TXA2 (PubMed:11297515, PubMed:9873013, PubMed:22735388). Additionally, displays dehydratase activity, toward (15S)-hydroperoxy-(5Z,8Z,11Z,13E)-eicosatetraenoate (15(S)-HPETE) producing 15-KETE and 15-HETE (PubMed:17459323). {ECO:0000269|PubMed:11097184, ECO:0000269|PubMed:11297515, ECO:0000269|PubMed:17459323, ECO:0000269|PubMed:22735388, ECO:0000269|PubMed:24009185, ECO:0000269|PubMed:8436233, ECO:0000269|PubMed:9873013}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:8366093}; Multi-pass membrane protein {ECO:0000255}.,PATHWAY: Lipid metabolism; fatty acid metabolism. {ECO:0000305}.
Q02928,CP4AB_HUMAN,Cytochrome P450 4A11 (EC 1.14.14.1) (20-hydroxyeicosatetraenoic acid synthase) (20-HETE synthase) (CYP4AII) (CYPIVA11) (Cytochrome P-450HK-omega) (Cytochrome P450HL-omega) (Fatty acid omega-hydroxylase) (Lauric acid omega-hydroxylase) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80),CYP4A11 CYP4A2,Homo sapiens (Human),519,"59,348","TISSUE SPECIFICITY: Expressed in liver (PubMed:7679927). Expressed in S2 and S3 segments of proximal tubules in cortex and outer medulla of kidney (PubMed:7679927, PubMed:10660572). {ECO:0000269|PubMed:10660572, ECO:0000269|PubMed:7679927}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:11139583}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of fatty acids and their oxygenated derivatives (oxylipins) (PubMed:7679927, PubMed:1739747, PubMed:8914854, PubMed:10553002, PubMed:10660572, PubMed:15611369). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:7679927, PubMed:1739747, PubMed:8914854, PubMed:10553002, PubMed:10660572, PubMed:15611369). Catalyzes predominantly the oxidation of the terminal carbon (omega-oxidation) of saturated and unsaturated fatty acids, the catalytic efficiency decreasing in the following order: dodecanoic > tetradecanoic > (9Z)-octadecenoic > (9Z,12Z)-octadecadienoic > hexadecanoic acid (PubMed:10553002, PubMed:10660572). Acts as a major omega-hydroxylase for dodecanoic (lauric) acid in liver (PubMed:7679927, PubMed:1739747, PubMed:8914854, PubMed:15611369). Participates in omega-hydroxylation of (5Z,8Z,11Z,14Z)-eicosatetraenoic acid (arachidonate) to 20-hydroxyeicosatetraenoic acid (20-HETE), a signaling molecule acting both as vasoconstrictive and natriuretic with overall effect on arterial blood pressure (PubMed:10620324, PubMed:10660572, PubMed:15611369). Can also catalyze the oxidation of the penultimate carbon (omega-1 oxidation) of fatty acids with lower efficiency (PubMed:7679927). May contribute to the degradation of saturated very long-chain fatty acids (VLCFAs) such as docosanoic acid, by catalyzing successive omega-oxidations to the corresponding dicarboxylic acid, thereby initiating chain shortening (PubMed:18182499). Omega-hydroxylates (9R,10S)-epoxy-octadecanoate stereoisomer (PubMed:15145985). Plays a minor role in omega-oxidation of long-chain 3-hydroxy fatty acids (PubMed:18065749). Has little activity toward prostaglandins A1 and E1 (PubMed:7679927). {ECO:0000269|PubMed:10553002, ECO:0000269|PubMed:10620324, ECO:0000269|PubMed:10660572, ECO:0000269|PubMed:15145985, ECO:0000269|PubMed:15611369, ECO:0000269|PubMed:1739747, ECO:0000269|PubMed:18065749, ECO:0000269|PubMed:18182499, ECO:0000269|PubMed:7679927, ECO:0000269|PubMed:8914854}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:1739747}; Peripheral membrane protein {ECO:0000305}. Microsome membrane {ECO:0000305|PubMed:1739747}; Peripheral membrane protein {ECO:0000305}.,"PATHWAY: Lipid metabolism; arachidonate metabolism. {ECO:0000269|PubMed:15611369}.; PATHWAY: Lipid metabolism; oxylipin biosynthesis. {ECO:0000269|PubMed:10620324, ECO:0000269|PubMed:10660572, ECO:0000269|PubMed:15611369}."
P05108,CP11A_HUMAN,"Cholesterol side-chain cleavage enzyme, mitochondrial (EC 1.14.15.6) (CYPXIA1) (Cholesterol desmolase) (Cytochrome P450 11A1) (Cytochrome P450(scc))",CYP11A1 CYP11A,Homo sapiens (Human),521,"60,102",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:21636783}; ,"FUNCTION: A cytochrome P450 monooxygenase that catalyzes the side-chain hydroxylation and cleavage of cholesterol to pregnenolone, the precursor of most steroid hormones (PubMed:21636783). Catalyzes three sequential oxidation reactions of cholesterol, namely the hydroxylation at C22 followed with the hydroxylation at C20 to yield 20R,22R-hydroxycholesterol that is further cleaved between C20 and C22 to yield the C21-steroid pregnenolone and 4-methylpentanal (PubMed:21636783). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate and reducing the second into a water molecule. Two electrons are provided by NADPH via a two-protein mitochondrial transfer system comprising flavoprotein FDXR (adrenodoxin/ferredoxin reductase) and nonheme iron-sulfur protein FDX1 or FDX2 (adrenodoxin/ferredoxin) (PubMed:21636783). {ECO:0000269|PubMed:21636783}.",SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P14137}; Peripheral membrane protein {ECO:0000305}. Note=Localizes to the matrix side of the mitochondrion inner membrane. {ECO:0000250|UniProtKB:P14137}.,PATHWAY: Lipid metabolism; C21-steroid hormone metabolism. {ECO:0000269|PubMed:21636783}.; PATHWAY: Steroid metabolism; cholesterol metabolism. {ECO:0000269|PubMed:21636783}.
P11511,CP19A_HUMAN,Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (Cytochrome P450 19A1) (Estrogen synthase),CYP19A1 ARO1 CYAR CYP19,Homo sapiens (Human),503,"57,883","TISSUE SPECIFICITY: Widely expressed, including in adult and fetal brain, placenta, skin fibroblasts, adipose tissue and gonads. {ECO:0000269|PubMed:2040633, ECO:0000269|PubMed:3018730, ECO:0000269|PubMed:7690033, ECO:0000269|PubMed:8117272}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:19129847}; ,"FUNCTION: A cytochrome P450 monooxygenase that catalyzes the conversion of C19 androgens, androst-4-ene-3,17-dione (androstenedione) and testosterone to the C18 estrogens, estrone and estradiol, respectively (PubMed:27702664, PubMed:2848247). Catalyzes three successive oxidations of C19 androgens: two conventional oxidations at C19 yielding 19-hydroxy and 19-oxo/19-aldehyde derivatives, followed by a third oxidative aromatization step that involves C1-beta hydrogen abstraction combined with cleavage of the C10-C19 bond to yield a phenolic A ring and formic acid (PubMed:20385561). Alternatively, the third oxidative reaction yields a 19-norsteroid and formic acid. Converts dihydrotestosterone to delta1,10-dehydro 19-nordihydrotestosterone and may play a role in homeostasis of this potent androgen (PubMed:22773874). Also displays 2-hydroxylase activity toward estrone (PubMed:22773874). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:20385561, PubMed:22773874). {ECO:0000269|PubMed:20385561, ECO:0000269|PubMed:22773874, ECO:0000269|PubMed:27702664, ECO:0000269|PubMed:2848247}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:2973313}; Multi-pass membrane protein {ECO:0000305}. Microsome membrane {ECO:0000269|PubMed:2973313}; Multi-pass membrane protein {ECO:0000305}.,"PATHWAY: Steroid hormone biosynthesis. {ECO:0000269|PubMed:20385561, ECO:0000269|PubMed:22773874}."
P08684,CP3A4_HUMAN,"Cytochrome P450 3A4 (EC 1.14.14.1) (1,4-cineole 2-exo-monooxygenase) (1,8-cineole 2-exo-monooxygenase) (EC 1.14.14.56) (Albendazole monooxygenase (sulfoxide-forming)) (EC 1.14.14.73) (Albendazole sulfoxidase) (CYPIIIA3) (CYPIIIA4) (Cholesterol 25-hydroxylase) (Cytochrome P450 3A3) (Cytochrome P450 HLp) (Cytochrome P450 NF-25) (Cytochrome P450-PCN1) (Nifedipine oxidase) (Quinine 3-monooxygenase) (EC 1.14.14.55)",CYP3A4 CYP3A3,Homo sapiens (Human),503,"57,343","TISSUE SPECIFICITY: Expressed in prostate and liver. According to some authors, it is not expressed in brain (PubMed:19094056). According to others, weak levels of expression are measured in some brain locations (PubMed:19359404 and PubMed:18545703). Also expressed in epithelium of the small intestine and large intestine, bile duct, nasal mucosa, kidney, adrenal cortex, epithelium of the gastric mucosa with intestinal metaplasia, gallbladder, intercalated ducts of the pancreas, chief cells of the parathyroid and the corpus luteum of the ovary (at protein level). {ECO:0000269|PubMed:18545703, ECO:0000269|PubMed:19094056, ECO:0000269|PubMed:19359404, ECO:0000269|PubMed:2732228, ECO:0000269|PubMed:7894497, ECO:0000269|PubMed:8035341}.","COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:15256616, ECO:0000269|PubMed:15258162}; ","FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of sterols, steroid hormones, retinoids and fatty acids (PubMed:10681376, PubMed:11093772, PubMed:11555828, PubMed:14559847, PubMed:12865317, PubMed:15373842, PubMed:15764715, PubMed:20702771, PubMed:19965576, PubMed:21490593, PubMed:21576599). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase). Catalyzes the hydroxylation of carbon-hydrogen bonds (PubMed:2732228, PubMed:14559847, PubMed:12865317, PubMed:15373842, PubMed:15764715, PubMed:21576599, PubMed:21490593). Exhibits high catalytic activity for the formation of hydroxyestrogens from estrone (E1) and 17beta-estradiol (E2), namely 2-hydroxy E1 and E2, as well as D-ring hydroxylated E1 and E2 at the C-16 position (PubMed:11555828, PubMed:14559847, PubMed:12865317). Plays a role in the metabolism of androgens, particularly in oxidative deactivation of testosterone (PubMed:2732228, PubMed:15373842, PubMed:15764715, PubMed:22773874). Metabolizes testosterone to less biologically active 2beta- and 6beta-hydroxytestosterones (PubMed:2732228, PubMed:15373842, PubMed:15764715). Contributes to the formation of hydroxycholesterols (oxysterols), particularly A-ring hydroxylated cholesterol at the C-4beta position, and side chain hydroxylated cholesterol at the C-25 position, likely contributing to cholesterol degradation and bile acid biosynthesis (PubMed:21576599). Catalyzes bisallylic hydroxylation of polyunsaturated fatty acids (PUFA) (PubMed:9435160). Catalyzes the epoxidation of double bonds of PUFA with a preference for the last double bond (PubMed:19965576). Metabolizes endocannabinoid arachidonoylethanolamide (anandamide) to 8,9-, 11,12-, and 14,15-epoxyeicosatrienoic acid ethanolamides (EpETrE-EAs), potentially modulating endocannabinoid system signaling (PubMed:20702771). Plays a role in the metabolism of retinoids. Displays high catalytic activity for oxidation of all-trans-retinol to all-trans-retinal, a rate-limiting step for the biosynthesis of all-trans-retinoic acid (atRA) (PubMed:10681376). Further metabolizes atRA toward 4-hydroxyretinoate and may play a role in hepatic atRA clearance (PubMed:11093772). Responsible for oxidative metabolism of xenobiotics. Acts as a 2-exo-monooxygenase for plant lipid 1,8-cineole (eucalyptol) (PubMed:11159812). Metabolizes the majority of the administered drugs. Catalyzes sulfoxidation of the anthelmintics albendazole and fenbendazole (PubMed:10759686). Hydroxylates antimalarial drug quinine (PubMed:8968357). Acts as a 1,4-cineole 2-exo-monooxygenase (PubMed:11695850). Also involved in vitamin D catabolism and calcium homeostasis. Catalyzes the inactivation of the active hormone calcitriol (1-alpha,25-dihydroxyvitamin D(3)) (PubMed:29461981). {ECO:0000269|PubMed:10681376, ECO:0000269|PubMed:10759686, ECO:0000269|PubMed:11093772, ECO:0000269|PubMed:11159812, ECO:0000269|PubMed:11555828, ECO:0000269|PubMed:11695850, ECO:0000269|PubMed:12865317, ECO:0000269|PubMed:14559847, ECO:0000269|PubMed:15373842, ECO:0000269|PubMed:15764715, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:20702771, ECO:0000269|PubMed:21490593, ECO:0000269|PubMed:21576599, ECO:0000269|PubMed:22773874, ECO:0000269|PubMed:2732228, ECO:0000269|PubMed:29461981, ECO:0000269|PubMed:8968357, ECO:0000269|PubMed:9435160}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass membrane protein. Microsome membrane {ECO:0000269|PubMed:21576599}; Single-pass membrane protein.,"PATHWAY: Steroid hormone biosynthesis. {ECO:0000269|PubMed:11555828, ECO:0000269|PubMed:12865317}.; PATHWAY: Cofactor metabolism; retinol metabolism. {ECO:0000269|PubMed:10681376}.; PATHWAY: Steroid metabolism; cholesterol metabolism. {ECO:0000269|PubMed:21576599}.; PATHWAY: Lipid metabolism; fatty acid metabolism. {ECO:0000269|PubMed:19965576}."
Q9Y6A2,CP46A_HUMAN,Cholesterol 24-hydroxylase (CH24H) (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),CYP46A1 CYP46,Homo sapiens (Human),500,"56,821",TISSUE SPECIFICITY: Expressed in brain. The mRNA was broadly distributed with higher levels in gray matter zones and lower levels in regions rich in white matter. Not detected in fetal sample but its expression increases linearly with age. {ECO:0000269|PubMed:10377398}.,"COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:18621681, ECO:0000269|PubMed:20667828, ECO:0000269|PubMed:23288837}; ","FUNCTION: P450 monooxygenase that plays a major role in cholesterol homeostasis in the brain. Primarily catalyzes the hydroxylation (with S stereochemistry) at C-24 of cholesterol side chain, triggering cholesterol diffusion out of neurons and its further degradation (PubMed:10377398, PubMed:14640697, PubMed:25017465, PubMed:18621681). By promoting constant cholesterol elimination in neurons, may activate the mevalonate pathway and coordinate the synthesis of new cholesterol and nonsterol isoprenoids involved in synaptic activity and learning (By similarity). Further hydroxylates cholesterol derivatives and hormone steroids on both the ring and side chain of these molecules, converting them into active oxysterols involved in lipid signaling and biosynthesis (PubMed:12077124, PubMed:14640697, PubMed:28190002). Acts as an epoxidase converting cholesta-5,24-dien-3beta-ol/desmosterol into (24S),25-epoxycholesterol, an abundant lipid ligand of nuclear NR1H2 and NR1H3 receptors shown to promote neurogenesis in developing brain (PubMed:25017465). May also catalyze the oxidative metabolism of xenobiotics, such as clotrimazole (PubMed:20667828). {ECO:0000250|UniProtKB:Q9WVK8, ECO:0000269|PubMed:10377398, ECO:0000269|PubMed:12077124, ECO:0000269|PubMed:14640697, ECO:0000269|PubMed:18621681, ECO:0000269|PubMed:20667828, ECO:0000269|PubMed:25017465, ECO:0000269|PubMed:28190002}.","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9WVK8}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9WVK8}. Microsome membrane {ECO:0000250|UniProtKB:Q9WVK8}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9WVK8}. Cell junction, synapse, postsynapse {ECO:0000250|UniProtKB:Q9WVK8}. Cell junction, synapse, presynapse {ECO:0000250|UniProtKB:Q9WVK8}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q9WVK8}.",PATHWAY: Steroid metabolism; cholesterol degradation. {ECO:0000305|PubMed:14640697}.; PATHWAY: Lipid metabolism; C21-steroid hormone metabolism. {ECO:0000305|PubMed:14640697}.
Q07973,CP24A_HUMAN,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial (24-OHase) (Vitamin D(3) 24-hydroxylase) (EC 1.14.15.16) (Cytochrome P450 24A1) (Cytochrome P450-CC24)",CYP24A1 CYP24,Homo sapiens (Human),514,"58,875",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:Q09128}; ,"FUNCTION: A cytochrome P450 monooxygenase with a key role in vitamin D catabolism and calcium homeostasis. Via C24- and C23-oxidation pathways, catalyzes the inactivation of both the vitamin D precursor calcidiol (25-hydroxyvitamin D(3)) and the active hormone calcitriol (1-alpha,25-dihydroxyvitamin D(3)) (PubMed:24893882, PubMed:15574355, PubMed:8679605, PubMed:11012668, PubMed:16617161, PubMed:29461981). With initial hydroxylation at C-24 (via C24-oxidation pathway), performs a sequential 6-step oxidation of calcitriol leading to the formation of the biliary metabolite calcitroic acid (PubMed:24893882, PubMed:15574355). With initial hydroxylation at C-23 (via C23-oxidation pathway), catalyzes sequential oxidation of calcidiol leading to the formation of 25(OH)D3-26,23-lactone as end product (PubMed:11012668, PubMed:8679605). Preferentially hydroxylates at C-25 other vitamin D active metabolites, such as CYP11A1-derived secosteroids 20S-hydroxycholecalciferol and 20S,23-dihydroxycholecalciferol (PubMed:25727742). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via FDXR/adrenodoxin reductase and FDX1/adrenodoxin (PubMed:8679605). {ECO:0000269|PubMed:11012668, ECO:0000269|PubMed:15574355, ECO:0000269|PubMed:16617161, ECO:0000269|PubMed:24893882, ECO:0000269|PubMed:25727742, ECO:0000269|PubMed:29461981, ECO:0000269|PubMed:8679605}.",SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q09128}.,
